worker_id,team_id,session,item_id,A,M,assistance_arm,difficulty,y_true,ai_confidence,ai_suggestion,human_decision,override,correct
1,7,1,s1_i0,1,smartphone_3G,Calib,0.3942729416859753,1,0.6234060939849533,1,1,0,1
1,7,1,s1_i1,1,smartphone_3G,Calib,0.512171319633597,0,0.7316371578292429,1,1,0,0
1,7,1,s1_i2,1,smartphone_3G,Calib,0.18153022631736268,1,0.8889536614647711,1,1,0,1
1,7,1,s1_i3,1,smartphone_3G,Calib,0.5302350752155977,1,0.5908869525251071,1,1,0,1
1,7,1,s1_i4,1,smartphone_3G,Calib,0.3358109862444734,0,0.5991309881007612,1,0,1,1
1,7,1,s1_i5,1,smartphone_3G,Calib,0.17138119230125134,1,0.6413476110869594,1,1,1,1
1,7,1,s1_i6,1,smartphone_3G,Calib,0.14942825620282502,1,0.7850082500729034,1,1,1,1
1,7,1,s1_i7,1,smartphone_3G,Calib,0.23230835511365697,1,0.6427125675894819,1,1,0,1
1,7,1,s1_i8,1,smartphone_3G,Calib,0.2457454403587379,0,0.7489137827754061,1,1,0,0
1,7,1,s1_i9,1,smartphone_3G,Calib,0.14168055001090157,0,0.6219626263753113,1,1,0,0
1,7,1,s1_i10,1,smartphone_3G,Calib,0.6847449691925881,1,0.7021502486227933,1,1,0,1
1,7,1,s1_i11,1,smartphone_3G,Calib,0.13147927824332445,1,0.6763628624932541,1,1,0,1
1,7,1,s1_i12,1,smartphone_3G,Calib,0.5904034545231936,0,0.7383455939891342,1,1,1,0
1,7,1,s1_i13,1,smartphone_3G,Calib,0.3196130873922477,1,0.6763253395894067,1,1,1,1
1,7,1,s1_i14,1,smartphone_3G,Calib,0.13241448026450553,1,0.7992394124666895,1,1,0,1
1,7,1,s1_i15,1,smartphone_3G,Calib,0.2537713079869576,1,0.6050288692755293,1,1,1,1
1,7,1,s1_i16,1,smartphone_3G,Calib,0.3697695219333673,1,0.7041738048410203,1,1,0,1
1,7,1,s1_i17,1,smartphone_3G,Calib,0.2698988876899724,1,0.7523400453815976,1,0,1,0
1,7,1,s1_i18,1,smartphone_3G,Calib,0.6239506633053508,1,0.506803942097747,1,0,1,0
1,7,1,s1_i19,1,smartphone_3G,Calib,0.1244085638785338,1,0.7248762592608706,1,1,0,1
1,7,1,s1_i20,1,smartphone_3G,Calib,0.17952415465848534,1,0.6722456338962739,1,1,0,1
1,7,1,s1_i21,1,smartphone_3G,Calib,0.575060401583254,0,0.603537162850788,1,1,0,0
1,7,1,s1_i22,1,smartphone_3G,Calib,0.6114961078552144,1,0.5679489919039369,1,1,0,1
1,7,1,s1_i23,1,smartphone_3G,Calib,0.06496105747722121,0,0.7609897115836544,1,1,0,0
1,7,1,s1_i24,1,smartphone_3G,Calib,0.6140439575766999,0,0.6308189262884178,1,1,0,0
1,7,1,s1_i25,1,smartphone_3G,Calib,0.1923585026356412,1,0.8506921119629984,1,1,0,1
1,7,1,s1_i26,1,smartphone_3G,Calib,0.15796362919228166,0,0.7176798636072494,1,1,0,0
1,7,1,s1_i27,1,smartphone_3G,Calib,0.47128868994596274,1,0.6124301170442609,1,1,1,1
